DOI,Author_ID,Corresponding
10.3390/en16083562,2215114911,True
10.3390/en16083562,2290530076,False
10.3390/en16083562,2172090,False
10.3390/app13063760,2111834320,True
10.3390/app13063760,2211946569,False
10.3390/app13063760,2211880913,False
10.3390/app13063760,2108641637,False
10.3390/app13063760,3087008,False
10.3390/app13063760,38857090,False
10.1109/GlobConHT56829.2023.10087780,2213915423,True
10.1109/GlobConHT56829.2023.10087780,31624194,False
10.1109/GlobConHT56829.2023.10087780,2113266595,False
10.3390/en16041592,143975071,True
10.3390/en16041592,2204928520,False
10.3390/en16041592,3049940,False
10.3390/wevj12030094,2128916182,True
10.3390/wevj12030094,2129350920,False
10.3390/wevj12030094,1621181211,False
10.31234/osf.io/7gbjd,31717083,True
10.31234/osf.io/7gbjd,2088219725,False
10.31234/osf.io/7gbjd,143996753,False
10.31234/osf.io/7gbjd,5625647,False
10.1001/jamapsychiatry.2021.1221,4715247,True
10.1001/jamapsychiatry.2021.1221,38028748,False
10.1001/jamapsychiatry.2021.1221,38214342,False
10.1001/jamapsychiatry.2021.1221,4822272,False
10.1001/jamapsychiatry.2021.1221,34893667,False
10.1002/wps.20882,6609752,True
10.1002/wps.20882,82934036,False
10.1002/wps.20882,145171115,False
10.1002/wps.20882,2659843,False
10.1002/wps.20882,83024519,False
10.1002/wps.20882,38565406,False
10.1002/wps.20882,34221966,False
10.1002/wps.20882,145763736,False
10.1002/wps.20882,4423584,False
10.1002/wps.20882,2046648,False
10.1002/wps.20882,5672681,False
10.1002/wps.20882,6047002,False
10.1111/acps.13306,1713216668,True
10.1111/acps.13306,1429257765,False
10.1111/acps.13306,66249157,False
10.1111/acps.13306,2069383531,False
10.1111/acps.13306,4058196,False
10.1016/S2589-7500(21)00042-X,31717083,True
10.1016/S2589-7500(21)00042-X,34221966,False
10.1155/2022/9151847,1491631227,True
10.1155/2022/9151847,153915853,False
10.1155/2022/9151847,121055189,False
10.1016/j.future.2021.11.009,2155355888,True
10.1016/j.future.2021.11.009,50377069,False
10.1016/j.future.2021.11.009,2153277312,False
10.1016/j.future.2021.11.009,2153518814,False
10.1016/j.future.2021.11.009,2288038628,False
10.1016/j.future.2021.11.009,47418829,False
10.1109/DASC-PICom-CBDCom-CyberSciTech49142.2020.00026,2023739110,True
10.1109/DASC-PICom-CBDCom-CyberSciTech49142.2020.00026,2014749334,False
10.1109/DASC-PICom-CBDCom-CyberSciTech49142.2020.00026,2269790,False
10.1109/DASC-PICom-CBDCom-CyberSciTech49142.2020.00026,2037871,False
10.1109/TSMC.2019.2905253,2154941306,True
10.1109/TSMC.2019.2905253,1795716,False
10.1109/TSMC.2019.2905253,2597875,False
10.1109/TSMC.2019.2905253,2255389230,False
10.1109/TETC.2016.2633228,8755056,True
10.1109/TETC.2016.2633228,2124913,False
10.1109/TETC.2016.2633228,2169984,False
10.1109/TETC.2016.2633228,2011284,False
10.1109/TETC.2016.2633228,2840539,False
10.1002/anie.202415056,2322850680,True
10.1002/anie.202415056,2255859554,False
10.1002/anie.202415056,32427390,False
10.1002/anie.202415056,2321647360,False
10.1002/anie.202415056,2243999241,False
10.1021/acs.jcim.4c01107,2306263826,True
10.1021/acs.jcim.4c01107,2265973087,False
10.1021/acs.jcim.4c01107,2283413400,False
10.1038/s42256-024-00815-9,1677188150,True
10.1038/s42256-024-00815-9,2312039321,False
10.1038/s42256-024-00815-9,1404062244,False
10.1038/s42256-024-00815-9,89961757,False
10.1038/s42256-024-00815-9,73240341,False
10.1038/s42256-024-00815-9,2312038635,False
10.1038/s42256-024-00815-9,2312039697,False
10.1038/s42256-024-00815-9,2266904063,False
10.1038/s42256-024-00815-9,2266904604,False
