Author_Name,Author_ID
A. Rusilowati,2079440273
G. Burkhardt,1700271820
K. Adorjan,8005747
J. Kambeitz,2876416
L. Kambeitz-Ilankovic,1414119219
P. Falkai,2660554
F. Eyer,6470232
G. Koller,153483182
O. Pogarell,2534407
N. Koutsouleris,3214043
D. Dwyer,5672681
Futoshi Futami,29800064
Masahiro Fujisawa,6185326
M. Wong,2113833460
M. Wells,108696091
D. Zamanzadeh,72068822
Samir Akre,2077503209
J. Pevnick,2677079
Alex A. T. Bui,144217742
K. Gregory,3570701
Zhenyu Yue,49514462
Wenna Zhang,1948252942
Yongming Lu,7774574
Qiaoyue Yang,94186560
Qiuying Ding,3502018
Junfeng Xia,4417093
Yan Chen,2144283823
P. K. N. Banu,3815286
H. H. Inbarani,145133117
Jinghao Wang,2292630556
Mojtaba Yousefi,2300235810
Jayaprakash Rajasekharan,2693824
Reza Arghandeh,2265326503
Hossein Farahmand,2292512207
Yuto Suzuki,2215690516
F. Kashani,3030273
Ali Forghani Elah Abadi,2162446116
S. A. Asghari,2262901
Mohammadreza Binesh Marvasti,2068016
Golnoush Abaei,2820701
Morteza Nabavi,1490934493
Y. Savaria,1756949
Junhong Chen,2275569867
Qihang Yuan,2300545851
Hewen Guan,2199526835
Yuying Cui,2321189873
Chang Fu,2220447371
Tianfu Wei,2321489136
Kai Liu,2282140745
Hai Qiu,46638878
R. Rehman,22238502
Xiaoqun Yu,143677795
S. Xiong,2758494
Soyang Kwon,5720320
Patricia Zavos,151177228
Katherine P. Nickele,101207276
Albert Sugianto,150924838
Mark V. Albert,3182510
Zhifeng Xiao,2180870323
Jianing Zhi,121844189
B. Keskin,39189434
Sarah G. Elnaggar,2221574965
I. E. Elsemman,2085650631
T. H. Soliman,50428033
Anil Kumar Prajapati Anil,2254452677
Umesh Kumar Singh,2254385095
N. Dhamayanthi,2989395
B. Lavanya,144840972
Punpaporn Saardloun,2335888725
Napacha Mahadumrongkul,2335894166
Kanis Surajarus,2335888972
Kankanit Suppataratarn,2335889108
Kantapong Horaraung,2335894787
Nalanlak Wonggulya,2335886011
Pann Klankasem,2335894174
Pitchapa Chaicharoen,2335894151
Weeraya Hew,2335889430
Sasinapa Anugulsawad,2335888979
Mohamed Skander Mahjoub,2335894235
Aung Pyae,2740374
Yaqiang Zhang,2298571937
Xuwen Wang,2298509247
Yanan Wang,2298574945
Wen Zheng,2298568562
Shuhui Ren,2075291155
Kaiyang Wang,66904290
Yunfang Jia,3468133
X. Yan,2117852671
Dorin Moldovan,3369856
I. Anghel,40390132
T. Cioara,1729979
I. Salomie,1706937
J. Kolter,2064947354
Yun Zhang,121310683
Xiaojie Xu,153030296
A. Negi,1728262
K. P. Kishore,2341041934
ZhaoZhou Cai,2196653485
Cong Peng,144327272
Bingyun Yang,2196176908
Xiaoyue Liu,2142863012
Omar Mohammed,144674044
G. Bailly,1754561
D. Pellier,1777631
J. Simmie,2670766
Gaurang Sonkavde,2225845486
D. Dharrao,51887595
A. Bongale,9192419
Sarika T. Deokate,46610789
D. Doreswamy,116853525
S. K. Bhat,50378805
Wenjuan Zhong,1380210582
Yuyang Zhang,2224850812
Peiwen Fu,2266393147
Wenxuan Xiong,2158038131
Mingming Zhang,2224871422
Dongping Cao,46690737
Jiachen Dang,2041846875
Yong Zhong,2023972375
P. Dharanyadevi,1874254
Amirthasaravanan Arivunambi,2043635667
B. Senthilnayaki,2242976074
Pethuru Raj,2348268488
H. Yen,2307477
Wei-Hsin Lin,2980674
O. Groot,46241283
Chih-Wei Chen,2109674117
Jiun-Jen Yang,2130037688
M. Bongers,121611245
A. Karhade,5134422
Akash A. Shah,2313842894
Tse‐Chuan Yang,2949264
B. Bindels,1404210932
Shih-Hsiang Dai,2219927065
J. Verlaan,144282055
Joseph H Schwab,2313088399
Shu-Hua Yang,2247345700
Francis J Hornicek,2313596772
Ming-Hsiao Hu,8367866
Robert M. Savage,2251274862
Delos M. Cosgrove,2237994560
Sherin Kularathne,2307745696
Amanda Perera,2337380916
Namal Rathnayake,2114558833
Upaka S. Rathnayake,70531964
Yukinobu Hoshino,2271867310
M. H. Zahmani,9081907
B. Atmani,3287693
A. Bekrar,3132058
N. Aissani,40118887
Sarah Shafqat,40460371
Zahid Anwar,2213873418
Qaisar Javaid,2281454
H. F. Ahmad,2088138377
Awos Kanan,39740778
Amal Taha,2200547919
Fadhila Tangguh Admojo,73529923
Yudha Islami Sulistya,2181472973
Pei-Hua Lin,2289926574
Ping-Huan Kuo,2266529178
Kuan-Lin Chen,2266577868
Yong Wang,2294545179
B. Rimal,3407759
Carson Koball,2159004238
Michael Fahnlander,2304845298
Julia Scheaffer,2304793932
Joshua Hammrich,2304795675
Paolo Gentry,2304795278
Dylan Westlund,2304793998
Tyler Salmen,2304794424
Connor Ford,2304799472
Wenru Zhang,2312864048
Ying Zhou,2272424983
Liuhui Xu,2170670021
Chaomin Qiu,2295156156
Zhixian Luo,2271124396
Zhenghao Jiang,2271748002
Xinyi Tao,2270428859
Yingjie Wu,2312875339
Shishi Yao,2312902269
Hang Huang,2313030846
Xinshi Wang,2312866805
Yunjun Yang,2270702453
Ru Lin,2150033004
D. A. Peterson,145941068
J. Knight,2526983
M. Kirby,152768617
C. Anderson,144826602
M. Thaut,2328412
N. Agrawal,49504506
Ajeet K. Sharma,2110199755
M. Bagheri,2394641
A. Akbari,9211742
S. A. Mirbagheri,39473012
