Field_Name,Field_ID
Engineering,1
Environmental Science,2
Computer Science,3
Medicine,4
Psychology,5
Materials Science,6
Chemistry,7
Education,8
Biology,9
Sociology,10
Mathematics,11
Business,12
Physics,13
Geology,14
Agricultural and Food Sciences,15
Economics,16
Political Science,17
Law,18
Geography,19
Linguistics,20
History,21
Art,22
Philosophy,23
Agricultural And Food Sciences,24
