Author_Name,Author_ID
K. Chatzikokolakis,3472832.0
C. Palamidessi,1722055.0
Haoyu Zhang,2306835593.0
Yuxin Xu,2306419527.0
Lihan Xiao,2308421792.0
Canjie Zhen,2306454190.0
Arisoa S. Randrianasolo,3245425.0
Pengpeng Zhang,2291469438.0
Xinyi Wu,2291435788.0
Dingli Wang,2291342962.0
Mengzhe Zhang,2267291897.0
Bin Zhang,2291469077.0
Zhenfa Zhang,2238389108.0
Antonio Krüger,2064260103.0
A.E. Kairatova,2339595595.0
N.S. Kamzanov,2339596212.0
T.S. Beketov,2339595115.0
A.Z. Abekova,2339595588.0
K.K. Zabiyeva,2339593874.0
E. Walker,2053979963.0
Joshua A Kammeraad,39102196.0
John W. Goetz,72952067.0
Michael T. Robo,35443960.0
Ambuj Tewari,3064914.0
P. Zimmerman,3174588.0
Khamdun Khamdun,2091797683.0
S. Suparmi,2035836315.0
M. Maridi,73759107.0
A. Rusilowati,2079440273.0
G. Burkhardt,1700271820.0
K. Adorjan,8005747.0
J. Kambeitz,2876416.0
L. Kambeitz-Ilankovic,1414119219.0
P. Falkai,2660554.0
F. Eyer,6470232.0
G. Koller,153483182.0
O. Pogarell,2534407.0
N. Koutsouleris,3214043.0
D. Dwyer,5672681.0
Futoshi Futami,29800064.0
Masahiro Fujisawa,6185326.0
M. Wong,2113833460.0
M. Wells,108696091.0
D. Zamanzadeh,72068822.0
Samir Akre,2077503209.0
J. Pevnick,2677079.0
Alex A. T. Bui,144217742.0
K. Gregory,3570701.0
Zhenyu Yue,49514462.0
Wenna Zhang,1948252942.0
Yongming Lu,7774574.0
Qiaoyue Yang,94186560.0
Qiuying Ding,3502018.0
Junfeng Xia,4417093.0
Yan Chen,2144283823.0
P. K. N. Banu,3815286.0
H. H. Inbarani,145133117.0
Jinghao Wang,2292630556.0
Mojtaba Yousefi,2300235810.0
Jayaprakash Rajasekharan,2693824.0
Reza Arghandeh,2265326503.0
Hossein Farahmand,2292512207.0
Yuto Suzuki,2215690516.0
F. Kashani,3030273.0
Ali Forghani Elah Abadi,2162446116.0
S. A. Asghari,2262901.0
Mohammadreza Binesh Marvasti,2068016.0
Golnoush Abaei,2820701.0
Morteza Nabavi,1490934493.0
Y. Savaria,1756949.0
Junhong Chen,2275569867.0
Qihang Yuan,2300545851.0
Hewen Guan,2199526835.0
Yuying Cui,2321189873.0
Chang Fu,2220447371.0
Tianfu Wei,2321489136.0
Kai Liu,2282140745.0
Hai Qiu,46638878.0
R. Rehman,22238502.0
Xiaoqun Yu,143677795.0
S. Xiong,2758494.0
Soyang Kwon,5720320.0
Patricia Zavos,151177228.0
Katherine P. Nickele,101207276.0
Albert Sugianto,150924838.0
Mark V. Albert,3182510.0
Zhifeng Xiao,2180870323.0
Jianing Zhi,121844189.0
B. Keskin,39189434.0
Sarah G. Elnaggar,2221574965.0
I. E. Elsemman,2085650631.0
T. H. Soliman,50428033.0
Anil Kumar Prajapati Anil,2254452677.0
Umesh Kumar Singh,2254385095.0
N. Dhamayanthi,2989395.0
B. Lavanya,144840972.0
Punpaporn Saardloun,2335888725.0
Napacha Mahadumrongkul,2335894166.0
Kanis Surajarus,2335888972.0
Kankanit Suppataratarn,2335889108.0
Kantapong Horaraung,2335894787.0
Nalanlak Wonggulya,2335886011.0
Pann Klankasem,2335894174.0
Pitchapa Chaicharoen,2335894151.0
Weeraya Hew,2335889430.0
Sasinapa Anugulsawad,2335888979.0
Mohamed Skander Mahjoub,2335894235.0
Aung Pyae,2740374.0
Yaqiang Zhang,2298571937.0
Xuwen Wang,2298509247.0
Yanan Wang,2298574945.0
Wen Zheng,2298568562.0
Shuhui Ren,2075291155.0
Kaiyang Wang,66904290.0
Yunfang Jia,3468133.0
X. Yan,2117852671.0
Dorin Moldovan,3369856.0
I. Anghel,40390132.0
T. Cioara,1729979.0
I. Salomie,1706937.0
J. Kolter,2064947354.0
Yun Zhang,121310683.0
Xiaojie Xu,153030296.0
A. Negi,1728262.0
K. P. Kishore,2341041934.0
ZhaoZhou Cai,2196653485.0
Cong Peng,144327272.0
Bingyun Yang,2196176908.0
Xiaoyue Liu,2142863012.0
Omar Mohammed,144674044.0
G. Bailly,1754561.0
D. Pellier,1777631.0
J. Simmie,2670766.0
Weixiang Liang,2282355919.0
Yinlong Liu,2188015654.0
Jikun Wang,2167476542.0
Zhi-Xin Yang,2333251016.0
Gaurang Sonkavde,2225845486.0
D. Dharrao,51887595.0
A. Bongale,9192419.0
Sarika T. Deokate,46610789.0
D. Doreswamy,116853525.0
S. K. Bhat,50378805.0
Wenjuan Zhong,1380210582.0
Yuyang Zhang,2224850812.0
Peiwen Fu,2266393147.0
Wenxuan Xiong,2158038131.0
Mingming Zhang,2224871422.0
Dongping Cao,46690737.0
