Author_Name,Author_ID
Rohan Alur,2030148603
L. Laine,120274102
Darrick K. Li,1409648513
Manish Raghavan,38009222
Devavrat Shah,145081804
Dennis L. Shung,16014130
N. C. Benz,2095525016
Arpit Agarwal,2967743
William Brown,2072981790
Fan Yao,2068476996
Chuanhao Li,2118673816
Denis Nekipelov,2307080
Hongning Wang,2108883660
Haifeng Xu,2140349456
Valerie Chen,15110752
Q. Liao,144921048
Jennifer Wortman Vaughan,4006636
Ran Tian,1491179197
M. Tomizuka,1680165
A. Dragan,2745001
Andrea V. Bajcsy,47370841
Aanand Kumbhar,2134991737
Pravin G. Dhawale,51249914
Shobha Kumbhar,2134475915
U. Patil,2067099040
Pravin Magdum,21113038
Z. Zhou,2144471850
E. Davoudi,2070884299
B. Vaferi,3433997
M. Karimi,2071838578
Elnaz Aminzadehsarikhanbeglou,2128376224
A. Diaconita,1418169408
G. Andrei,143694184
L. Rusu,22770806
C. Tsekos,102306097
S. Tandurella,48760855
W. de Jong,1410770792
N. Mousavi,96798609
A. Romero-Martínez,1398691293
Damijan Cerinski,101015110
A. I. Ferreiro,144130121
Jakov Baleta,12614649
Mário Costa,87424093
F. Zimbardi,49812337
N. Cerone,9754420
Jin Wang,2143717357
Yongchun Jiang,2150036557
Guan-Qi Zhang,2119057607
Juan‐Rong Wang,2142929923
Jinyu Tan,2115409058
Yan Li,47001811
Xiaoyang Tan,2248421
Hongguo Wu,92013857
Hu Li,2156963120
Song Yang,2109000377
Xianglong Liu,6820648
Junfeng He,38807427
B. Lang,1727601
Yunchao Gong,5115386
Svetlana Lazebnik,1749609
Albert Gordo,1821267
Florent Perronnin,1723883
Guosheng Lin,2604251
Chunhua Shen,1780381
D. Suter,50592201
A. Hengel,5546141
Mohammad Norouzi,144739074
A. Punjani,2355911
David J. Fleet,1793739
Kaiming He,39353098
Fang Wen,1716835
Jian Sun,None
Jun Wang,39811558
Sanjiv Kumar,152663162
Shih-Fu Chang,9546964
Debayan Gupta,2289719171
Aaron Segal,2064203013
Aurojit Panda,3169583
Gil Segev,2288879368
Michael Schapira,2285119860
Joan Feigenbaum,2262897833
Jennifer Rexford,2263487522
Scott Shenker,2266473127
